,,"Backporting: fix will be backported to a previous release - don't show in final release notes.
2017.3 Feature/Regression: fix pertains to a feature in this release - don't show in final release notes.
Internal: fix pertains to something that we don’t necessarily want to advertise - don't show in any release notes.
Existing issue: everything else - show in alpha/beta and final release notes. (confused? ask on #release-management)",,"Note: Please use Markdown format inside cell. Also, expect the whole cell to be prefixed with a ""- "" to turn into a bullet item, so prefix spaces for internal bullets as necessary.",,Doc Team Usage,,
2017.3.0a4,909024,Internal,Build Pipeline,Wrapped null check in safe return to avoid crash,Bill Ramsour,,https://issuetracker.unity3d.com/issues/sharedtest-scene-from-holotoolkit-crashes-when-building,
2017.3.0a4,"911971,905245",Internal,Build Pipeline,"Fixed title of folder browser window when building player for windows64 (it was showing as ""Facebook"")",Paul Burslem,,https://issuetracker.unity3d.com/issues/title-of-the-build-window-on-pc-mac-and-linux-standalone-is-build-facebook-when-architecture-is-set-to-x86-64,
2017.3.0a4,934819,Existing Issue (show in final notes),Scripting Upgrade,Fixed an issue where the send function from our synchronization context would fail to execute on the main thread,Michael DeRoy,,https://issuetracker.unity3d.com/issues/synchronization-context-send-function-should-post-and-wait,
2017.3.0a4,912833,2017.3 Feature/Regression,Universal Windows Platform,Added new build setting to choose the generated UWP solution version between VS 2015 and VS 2017,Andrei Aristarkhov,,https://issuetracker.unity3d.com/issues/uwp-project-solution-dot-sln-file-opens-vs-2015-instead-of-vs-2017,
2017.3.0a4,930467,Backporting (show in alpha/beta notes only),2D,Fix Tilemap Orientation not updating normals when Orientation is changed,Chuan Xin Lim,,https://issuetracker.unity3d.com/issues/tilemap-orientation-doesnt-update-normals,
2017.3.0a4,931104,Backporting (show in alpha/beta notes only),2D,Fix Tilemap rendering when Deferred Rendering path is selected,Chuan Xin Lim,,https://issuetracker.unity3d.com/issues/deferred-rendering-path-not-rendering-2d-tilemap,
2017.3.0a4,,Backporting (show in alpha/beta notes only),XR,Fixed crash when changing XR quality settings while in exclusive VR mode,Peter Freese,,,
2017.3.0a4,,Backporting (show in alpha/beta notes only),XR,Fixed resource leak which caused the final frame to be left on the HMD when stopping play-in-Editor for Windows Mixed Reality,Peter Freese,,,
2017.3.0a4,815711,Existing Issue (show in final notes),Editor,Fixed issue with wrong xcode beeing used to build the project on Mac,Pavel Laurs,,https://issuetracker.unity3d.com/issues/ios-build-and-run-opens-project-with-xcode-beta-instead-of-the-default-version-set-to-open-xcodeproj-files,
2017.3.0a4,893229,Backporting (show in alpha/beta notes only),Shaders,Set the correct value for the SHADER_TARGET preprocessor macro during Surface Shader analysis to match the value used during Surface Shader compilation.,Jake Turner,,https://issuetracker.unity3d.com/issues/surface-shader-does-not-display-correct-color-if-using-number-ifdef-on-parallaxmap-preprocessor-variable-to-check-if-it-is-defined,
2017.3.0a4,900779,Existing Issue (show in final notes),Editor,Fixed an issue where GameView size would not be restricted correctly when we don't think there's enough video memory,Daniel Brauer,,https://issuetracker.unity3d.com/issues/game-view-is-reduced-to-a-larger-resolution-than-the-reasonable-size-for-your-system,
2017.3.0a4,916425,Backporting (show in alpha/beta notes only),Graphics,Fixed memory leak in Editor scene view.,Tim Cooper,,,
2017.3.0a4,916856,Backporting (show in alpha/beta notes only),Graphics,Fixed broken rendering in Animation preview window.,Tim Cooper,,,
2017.3.0a4,909961,Backporting (show in alpha/beta notes only),Graphics,Fixed not being able to add/remove vertex streams when using multi-select on particle systems.,Tim Cooper,,https://issuetracker.unity3d.com/issues/vertex-streams-cant-add-slash-remove-vertex-streams-when-using-multi-select,
2017.3.0a4,904719,Backporting (show in alpha/beta notes only),Graphics,Fixed selecting multiple particles breaking the simulation; it can't be stopped and particles play in a short loop.,Tim Cooper,,https://issuetracker.unity3d.com/issues/simulate-selecting-multiple-particles-breaks-simulation-it-cant-be-stopped-and-particles-play-in-a-short-loop,
2017.3.0a4,916482,Backporting (show in alpha/beta notes only),Graphics,Fixed Awake being called every time the Inspector gets in focus if the Preview window is open.,Tim Cooper,,https://issuetracker.unity3d.com/issues/awake-is-called-every-time-the-inspector-gets-in-focus-if-the-preview-window-is-open,
2017.3.0a4,909829,Backporting (show in alpha/beta notes only),Graphics,Fix different sampling on sRGB RenderTextures compared to non-sRGB RenderTextures when in Gamma space in standalone players.,Julien Ignace,,https://issuetracker.unity3d.com/issues/rendertexture-with-srgb-gets-sampled-differently-than-non-srgb-in-gamma-color-space,
2017.3.0a4,910659,Backporting (show in alpha/beta notes only),Graphics,Fixed incorrect light rendering on a non-full screen camera rendering to a RenderTexture.,Tim Cooper,,https://issuetracker.unity3d.com/issues/lights-do-not-render-correctly-on-rendertexture-between-camera-rect-values-0-and-0-dot-5,
2017.3.0a4,910036,Backporting (show in alpha/beta notes only),Graphics,Fixed incorrect rendering on a non-full screen camera rendering to a RenderTexture using Forward rendering.,Tim Cooper,,https://issuetracker.unity3d.com/issues/camera-with-forward-rendering-and-non-standard-viewport-rect-rendering-to-rt-does-not-render-full-view,
2017.3.0a4,918993,Backporting (show in alpha/beta notes only),Graphics,Fixed deadlock when building lighting in Editor or during a player build.,Jake Turner,,https://issuetracker.unity3d.com/issues/unity-freezes-on-platformsemaphore-waitforsignal-when-trying-to-build-lighting-on-5-dot-6,
2017.3.0a4,918642,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when a valid Mesh had no submeshes.,Tim Cooper,,https://issuetracker.unity3d.com/issues/crash-in-meshrenderingdata-extractmeshbuffersanddrawrange-while-entering-slash-exiting-playmode-when-generating-maps-with-mapbox,
2017.3.0a4,912323,Backporting (show in alpha/beta notes only),Graphics,"Added a warning message when ""Mirror Once"" texture wrap mode is not supported by the current graphics API and fallback to mirror wrap mode.",Christophe Riccio,,https://issuetracker.unity3d.com/issues/texture-wrap-mode-mirror-once-is-wrong-on-android-vulkan-android-gles3-and-webgl-player,
2017.3.0a4,902870,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when adding CommandBuffers during OnPreCull callabck and visualizing occlusion data with lighting enabled.,Felipe Lira,,https://issuetracker.unity3d.com/issues/crash-in-object-getinstanceid-when-visualizing-occlusion-with-lighting-on,
2017.3.0a4,918636,Backporting (show in alpha/beta notes only),Graphics,"Fixed rare case when shader compilation fails with error message ""Failed to find parameters of a compiled D3D9 shader"".",Juho Oravainen,,https://issuetracker.unity3d.com/issues/first-build-fails-with-failed-to-find-parameters-of-a-compiled-d3d9-shader-on-d3d9-error,
2017.3.0a4,917105,Backporting (show in alpha/beta notes only),Graphics,Rendering optimistion for GLES graphics API.,Christophe Riccio,,,
2017.3.0a4,898184,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when Vulkan loader is installed but no drivers are installed and Vulkan is used as the default API.,Christophe Riccio,,https://issuetracker.unity3d.com/issues/standalone-build-crashes-when-graphics-api-is-set-to-openglcore-and-games-resolution-is-not-native,
2017.3.0a4,918788,Backporting (show in alpha/beta notes only),Graphics,Fixed rare (could happen in very complex scenes) crash/hang when graphics jobs.	,Jake Turner,,,
2017.3.0a4,906072,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when trying to use 16-bit RenderTexture on systems which do not support them.,Christophe Riccio,,https://issuetracker.unity3d.com/issues/rendertexture-create-crashes-unity-using-rgb565-with-nvidia-gtx-760,
2017.3.0a4,840231,Backporting (show in alpha/beta notes only),Graphics,Fixed Graphics.CopyTexture not forcing mipmap generation on the source RenderTexture if the RenderTexture has (auto)generateMips set to true.,Christophe Riccio,,https://issuetracker.unity3d.com/issues/graphics-dot-copytexture-should-force-mipmap-generation-for-src-if-it-is-rt-with-auto-generatemips-set-to-true,
2017.3.0a4,898318,Backporting (show in alpha/beta notes only),Graphics,Fixed crash and error when attempting to set color surface as depth render target or vice-versa.,Mikko Strandborg,,https://issuetracker.unity3d.com/issues/crash-using-rendertextureformat-dot-rfloat-w-slash-command-buffer,
2017.3.0a4,826751,Backporting (show in alpha/beta notes only),Graphics,"Fixed crash when using Compute Shader with very large number of thread groups i.e. greater than 500,000.",Andrius Keidonas,,,
2017.3.0a4,775291,Backporting (show in alpha/beta notes only),Graphics,Improve documentation to explain when using Graphics.Blit to a Null target it may get re-routed to a texture if the main camera has a RenderTexture as a target.,Mikko Strandborg,,https://issuetracker.unity3d.com/issues/graphics-dot-blit-rendertexture-null-doesnt-blit-to-screen-unless-main-camera-target-texture-is-null,
2017.3.0a4,922204,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when Native plugin created a RenderTexture with an uninitialised format.,Christophe Riccio,,,
2017.3.0a4,903022,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when using external pointer to a WebCamTexture.,Christophe Riccio,,https://issuetracker.unity3d.com/issues/unity-crashes-when-using-external-pointer-to-webcamtexture-at-texturesd3d11base-texturefromshaderresourcevie,
2017.3.0a4,782380,Backporting (show in alpha/beta notes only),Graphics,Fixed multiple display camera not rendering after reloading the scene using SceneManager.LoadScene().,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/multi-display-camera-does-not-render-after-reloading-the-scene-using-scenemanager-dot-loadscene,
2017.3.0a4,922739,Backporting (show in alpha/beta notes only),Graphics,Fix Terrain not showing wireframe in shaded-wireframe mode.,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/shaded-wireframe-shading-mode-does-not-display-wireframes-on-the-terrain,
2017.3.0a4,884649,Backporting (show in alpha/beta notes only),Graphics,Fixed import of JPEG images with rotation property specified in the JPEG.,Arnaud Carré,,https://issuetracker.unity3d.com/issues/unity-does-not-rotate-jpeg-images,
2017.3.0a4,922996,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when assigning (invalid) Mesh to a SkinnedMeshRenderer from script in standalone player.,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/built-player-crashes-when-assigning-certain-mesh-to-skinned-mesh-renderer-trough-script,
2017.3.0a4,922715,Backporting (show in alpha/beta notes only),Graphics,Fixed crash on exit from fullscreen player when using OpenGLCore graphics API.,Christophe Riccio,,https://issuetracker.unity3d.com/issues/player-crashes-when-pressing-alt-f4-on-full-screen-mode-when-it-is-build-using-openglcore,
2017.3.0a4,924421,Backporting (show in alpha/beta notes only),Graphics,"Fix fatal error ""GetManagerFromContext: pointer to object of manager ""RenderSettigns"" is NULL"".",Tim Cooper,,https://issuetracker.unity3d.com/issues/unity-crashes-with-fatal-error-getmanagerfromcontext-pointer-to-object-dot-dot-dot-when-removing-lod-group-component,
2017.3.0a4,733687,Backporting (show in alpha/beta notes only),Graphics,Fixed Mesh becoming offset and scaled when accessing 'mesh' property on a MeshFilter on a static GameObject and static batching is enabled.,Vlad Andreev,,https://issuetracker.unity3d.com/issues/meshfilter-changes-when-its-mesh-dot-bounds-dot-size-dot-x-is-printed-or-copied-to-some-other-variable,
2017.3.0a4,803067,Backporting (show in alpha/beta notes only),Graphics,Fixed dynamic batching overwriting the vertex colour stream on untextured meshes.,Vlad Andreev,,https://issuetracker.unity3d.com/issues/batching-appears-to-break-vertex-coloring,
2017.3.0a4,923842,Backporting (show in alpha/beta notes only),Graphics,Fixed incorrect rendering for multiple cameras with non-fullscreen viewports.,Tim Cooper,,https://issuetracker.unity3d.com/issues/camera-viewport-rect-and-depth-causes-rendering-issues-with-multiple-cameras,
2017.3.0a4,,Backporting (show in alpha/beta notes only),Graphics,Fixed loading shaders in a variant collection not loading the variants from all passes which match.,Tim Cooper,,,
2017.3.0a4,924625,Backporting (show in alpha/beta notes only),Graphics,"Changed every instance of the string ""Custom Texture"" to ""Custom Render Texture"" in menus and tooltips.",Julien Ignace,,https://issuetracker.unity3d.com/issues/customrendertexture-naming-inconsistency-on-asset-create-menu,
2017.3.0a4,,Backporting (show in alpha/beta notes only),Graphics,Cubemap Custom Render Texture initialization is now applied to all faces (regardless of active face update flags).,Julien Ignace,,,
2017.3.0a4,,Backporting (show in alpha/beta notes only),Graphics,Fixed GPU profiler block for Custom Texture Update.,Julien Ignace,,,
2017.3.0a4,924570,Backporting (show in alpha/beta notes only),DX12,Generate mipmaps for all Cubemap faces.,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/customrendertexture-cubemap-type-in-dx12-player-is-wrong,
2017.3.0a4,925171,Backporting (show in alpha/beta notes only),Graphics,Fixed crash in Custom Render Texture when switching target platforms in the Editor,Julien Ignace,,https://issuetracker.unity3d.com/issues/customrendertexture-editor-crash-when-switching-platform-from-standalone-to-webgl,
2017.3.0a4,,Backporting (show in alpha/beta notes only),Graphics,When compiling a shader includie the shader name in the profiler marker.,Tim Cooper,,,
2017.3.0a4,775206,Existing Issue (show in final notes),WebGL,Fixed Fullscreen mode on Safari,Marco Trivellato,,https://issuetracker.unity3d.com/issues/webgl-fullscreen-mode-does-not-work-on-safari,
2017.3.0a4,926842,Existing Issue (show in final notes),WebGL,Fixed file:// protocol warning on browsers that don't allow it,Marco Trivellato,,https://issuetracker.unity3d.com/issues/webgl-file-slash-slash-error-lost-with-new-embedding-scheme,
2017.3.0a4,927459,Existing Issue (show in final notes),WebGL,Fixed server compression configuration warning,Marco Trivellato,,https://issuetracker.unity3d.com/issues/webgl-server-compression-settings-warning-lost-with-new-embedding-scheme,
2017.3.0a4,,Existing Issue (show in final notes),XR,Fixed a number of issues with the VRDevice and rendering in the game view to remove occlusion mesh.,Joe Jones,,,
2017.3.0a4,935087,Backporting (show in alpha/beta notes only),Animation,Fixed alpha channel being adjusted when animating a color in linear color space.,Karl Jones,,https://issuetracker.unity3d.com/issues/material-alpha-value-that-is-animated-in-materials-color-property-is-returned-incorrectly-when-using-linear-color-space,
2017.3.0a4,935665,Existing Issue (show in final notes),UI,Fixed issue in which GraphicRaycaster incorrectly hit graphic elements behind the event camera's far clipping plane.,Amy DiGiovanni,,,
2017.3.0a4,923698,Existing Issue (show in final notes),WebGL,Fixed back-buffer anti-aliasing on WebGL1.0,Marco Trivellato,,https://issuetracker.unity3d.com/issues/os-x-no-anti-aliasing-in-webgl-builds,
2017.3.0a4,931036,Existing Issue (show in final notes),Build Pipeline,Fixed bug where error was getting thrown if Cancel was selected in the folder dialogue for certain types of Android builds,David Latham,,,
2017.3.0a4,923397,Existing Issue (show in final notes),Particles,Noise remap curves were still editable after remap had been disabled,Richard Kettlewell,,https://issuetracker.unity3d.com/issues/noise-remap-curves-still-editable-when-remap-is-disabled,
2017.3.0a4,936096,Backporting (show in alpha/beta notes only),IL2CPP,Prevent a failure during code conversion when a constrained method call is made on a volatile type.,Josh Peterson,,https://issuetracker.unity3d.com/issues/il2cpp-build-fails-with-error-attempting-to-constrain-a-value-of-type-system-dot-boolean-modreq-to-type-system-dot-boolean,
2017.3.0a4,881121,Existing Issue (show in final notes),Graphics,Fixed wrong texture quality beeing applyed for graphic APIs not supporting NPOT with mipmaps,Pavel Laurs,,https://issuetracker.unity3d.com/issues/texture-quality-setting-work-only-on-textures-with-specific-qualifications,
2017.3.0a4,888658,Existing Issue (show in final notes),Editor,Fixed TreeView renaming issue when re-docking an EditorWindow,Mads Nyholm,,https://issuetracker.unity3d.com/issues/unable-to-rename-audiomixer-group-after-undocking-and-moving-the-window,
2017.3.0a4,,Existing Issue (show in final notes),Editor,Fixed so OnHierarchyChanged event is not fired if a root GameObject added/removed is hidden. Now same behavior as non-root GameObjects.,Mads Nyholm,,,
2017.3.0a4,935289,Existing Issue (show in final notes),Editor,Fixed so OnHierarchyChanged event is not fired if selection changes to a GameObject that shows preview area or material preview icons in the Inspector.,Mads Nyholm,,https://issuetracker.unity3d.com/issues/onhierarchychange-is-called-when-there-are-no-changes-made-to-hierarchy,
2017.3.0a4,918875,Backporting (show in alpha/beta notes only),Android,Resources.Load no longer stalls LoadScene and LoadSceneAsync,Jack Paine,,https://issuetracker.unity3d.com/issues/android-loadsceneasync-much-longer-load-time-on-some-devices,
2017.3.0a4,868291,Existing Issue (show in final notes),Editor,Fixed editor crash on UnloadSceneAsync() when exiting play mode if two scenes are added in Hierarchy,Jakob Schou Jensen,,https://issuetracker.unity3d.com/issues/editor-crashes-on-unloadsceneasync-when-exiting-play-mode-if-two-scenes-are-added-in-hierarchy,
2017.3.0a4,919220,Existing Issue (show in final notes),Asset Import,Fixed crash when importing a corrupted prefab,Jakob Schou Jensen,,https://issuetracker.unity3d.com/issues/dropping-corrupted-prefab-to-the-project-doesnt-show-prefab-in-the-assets-folder-but-makes-project-unusable,
2017.3.0a5,,Existing Issue (show in final notes),Editor,"Fixed various issues in PlayerConnection and EditorConnection, player connect and disconnect should work properly now.",Tomas Dirvanauskas,,,
2017.3.0a5,754030,Backporting (show in alpha/beta notes only),Editor,Don't allow reëntrant player builds.,Levi Bard,,https://issuetracker.unity3d.com/issues/mac-building-settings-window-allow-to-press-build-and-run-button-twice-and-saving-of-standalone-causes-reload-assembly-error,
2017.3.0a5,"928647,920116",Existing Issue (show in final notes),Build Pipeline,Fixed editor crash when attempting to build Assetbundles from a PreProcessBuild callback,Paul Burslem,,https://issuetracker.unity3d.com/issues/calling-buildpipeline-dot-buildassetbundles-from-ipreprocessbuild-dot-onpreprocessbuild-callback-crashes-unity,
2017.3.0a5,938493,Existing Issue (show in final notes),Editor,LookDev camera/objects is reset upon creating new unity scene,Frédéric Vauchelles,,https://issuetracker.unity3d.com/issues/lookdev-camera-slash-objects-is-reset-upon-creating-new-unity-scene,
2017.3.0a5,938490,Existing Issue (show in final notes),Editor,Changing width of LookDev window to lowest possible while HDRI panel is open throws errors,Frédéric Vauchelles,,https://issuetracker.unity3d.com/issues/changing-width-of-lookdev-window-to-lowest-possible-while-hdri-panel-is-open-throws-errors,
2017.3.0a5,938500,Existing Issue (show in final notes),Editor,LookDev window allows meshes to be dropped from scene hierarchy,Frédéric Vauchelles,,https://issuetracker.unity3d.com/issues/lookdev-window-allows-meshes-to-be-dropped-from-scene-hierarchy,
2017.3.0a5,893415,Existing Issue (show in final notes),iOS,Cardboard. Enable Transition View fixed ,Jonas Sideravicius,,https://issuetracker.unity3d.com/issues/ios-cardboard-splash-screen-appears-even-if-enable-transition-view-is-set-to-false,
2017.3.0a5,778068,Existing Issue (show in final notes),Editor,Fixed Profiler not showing chart data after Playmode change if Scene view was set to Maximize on Play.,Damian Campeanu,,https://issuetracker.unity3d.com/issues/profiler-shows-no-data-if-docked-and-game-view-is-maximized,
2017.3.0a5,930646,Backporting (show in alpha/beta notes only),Editor,Fixed bug where part of PlayerSettings inspector would disappear when entering play mode until it repainted at least once,Adam Mechtley,,https://issuetracker.unity3d.com/issues/half-of-other-settings-options-disappears-after-entering-playmode,
2017.3.0a5,,Backporting (show in alpha/beta notes only),Editor,Fixed exception when backspacing iOS target SDK version in PlayerSettings inspector,Adam Mechtley,,,
2017.3.0a5,,Backporting (show in alpha/beta notes only),Editor,"EditorGUI.EnumFlagsField() now works with all enums whose underlying type is supported by Unity's serialization system (e.g., byte, short, int, sbyte, ushort, uint)",Adam Mechtley,,,
2017.3.0a5,933414,Existing Issue (show in final notes),Editor,Fixed 9-slice not working well on transform scale values that are other than Vector3.one.,Jonathan Maurice,,,
2017.3.0a5,931828,Backporting (show in alpha/beta notes only),2D,Correctly use Sprite Atlas packed offset when calculating UVs for OverrideGeometry(),Yuan Kuan Seng,,https://issuetracker.unity3d.com/issues/using-overridegeometry-on-instantiated-sprite-produces-different-results-in-build-than-in-editor-with-new-spriteatlas-asset,
2017.3.0a5,933023,Backporting (show in alpha/beta notes only),2D,Expose sRGB (gamma color space) option and packing padding option to Sprite Atlas inspector.,Yuan Kuan Seng,,https://issuetracker.unity3d.com/issues/incorrect-color-calculation-in-linear-color-space-using-sprites-packed-with-sprite-atlas,
2017.3.0a5,930065,Existing Issue (show in final notes),Editor,Fixed UIElements ScrollView having empty space when scroll bars are hidden ,Ryan Mendivil,,,
2017.3.0a5,928294,Existing Issue (show in final notes),Editor,Fixed issue where Editor would crash on reload of a named scene without a scene Asset,Rasmus Bons,,https://issuetracker.unity3d.com/issues/crash-in-runtimescenemanager-setactivescene-when-discarding-change-on-a-deleted-scene-that-is-opened-in-the-hierarchy,
2017.3.0a5,941189,Existing Issue (show in final notes),Editor,"Fixed an issue that was preventing the execution of menu items that contained a hotkey character (e.g., '&', '_', etc) via Editor scripts.",Ignacio Liverotti,,,
2017.3.0a5,,Backporting (show in alpha/beta notes only),XR,Fixed the naming of Vuforia AR in the XR Settings to Vuforia Augmented Reality.,Ed Blais,,,
2017.3.0a5,898636 ,Backporting (show in alpha/beta notes only),Scripting,Fix alignment issue for 64-bit integers and doubles on Android and other non-iOS ARMv7 platforms,Jonathan Chambers,,,
2017.3.0a5,634364,Backporting (show in alpha/beta notes only),Scripting,Fix internal compiler error due to yield in a lambda statement,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/a-yield-statement-inside-a-lambda-expression-which-is-a-callback-of-another-coroutine-causes-an-internal-compiler-error,
2017.3.0a5,931981 ,Backporting (show in alpha/beta notes only),Scripting Upgrade,Report GC pause time correctly in profiler,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/profiler-shows-garbage-collection-execution-time-as-script-execution-time-when-using-experimental-net-4-dot-6,
2017.3.0a5,935845,Backporting (show in alpha/beta notes only),Scripting Upgrade,Avoid allocating GC memory when calling List.Sort with Comparer`1,Michael DeRoy,,https://issuetracker.unity3d.com/issues/list-dot-sort-causes-memory-allocations-with-net-4-dot-6-runtime-but-not-net-3-dot-5,
2017.3.0a5,935105,Backporting (show in alpha/beta notes only),AI,NavMeshBuilder can now use non-read/write meshes to generate NavMeshes in edit mode.,Jack Paine,,https://issuetracker.unity3d.com/issues/ai-navmesh-bake-nav-mesh-in-editor-without-needing-read-slash-write-enabled,
2017.3.0a5,806441,Existing Issue (show in final notes),Kernel,Display correct value when mult-editing and changing property to extreme clamped value,Cliff Davies,,https://issuetracker.unity3d.com/issues/wheelcollider-multiediting-target-position-property-shows-that-it-differs-between-wheel-colliders-when-corner-values-are-set,
2017.3.0a5,938063,Existing Issue (show in final notes),XR,Fix hardware volume controls so they are not locked out in Cardboard,,,https://issuetracker.unity3d.com/issues/android-cardboard-devices-volume-buttons-are-not-increasing-slash-decreasing-the-sound-when-application-is-launched,
2017.3.0a5,903883,Existing Issue (show in final notes),Animation,Fixed animation starts sliding in Blend Tree preview when having more that two animations,Robert Lanciault,,https://issuetracker.unity3d.com/issues/animation-starts-sliding-in-blend-tree-preview-when-having-more-that-two-animations,
2017.3.0a5,920106,Existing Issue (show in final notes),XR,Right eye is not rendering with Single Pass rendering and camera has Allow HDR enabled on Android,Scott Bassett,,https://issuetracker.unity3d.com/issues/android-vr-right-eye-is-not-rendering-with-single-pass-rendering-and-camera-has-allow-hdr-enabled,
2017.3.0a5,930458,Existing Issue (show in final notes),XR,Fixed crash when using Android single-pass stereo rendering with the Mock HMD,Scott Bassett,,,
2017.3.0a5,918916,Existing Issue (show in final notes),XR,Fixed CommandBuffer.Blit doesn't work when used in CameraEvent.AfterEverything,Scott Bassett,,https://issuetracker.unity3d.com/issues/vr-commandbuffer-dot-blit-doesnt-work-when-used-in-cameraevent-dot-aftereverything,
2017.3.0a5,930814,Backporting (show in alpha/beta notes only),Animation,Fixed a crash when spawning an Animator with a state machine that used OnStateMachineEnter,David Geoffroy,,https://issuetracker.unity3d.com/issues/crash-in-mono-jit-runtime-invoke-when-animator-instantiated-from-script-enters-a-sub-state-machine-with-statemachinebehaviour,
2017.3.0a5,935647,Backporting (show in alpha/beta notes only),Animation,Added overload to BeginAnimatedCheck to fix backward compatibility issues.,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/beginanimatedcheck-api-changes-breaks-backward-compatibility,
2017.3.0a5,935583,2017.3 Feature/Regression,Animation,Fixed an issue where child objects could not be keyframed,David Geoffroy,,,
2017.3.0a5,935015,Existing Issue (show in final notes),Animation,Fixed an exception in the transition inspector when the previewer is not docked,David Geoffroy,,https://issuetracker.unity3d.com/issues/selecting-animator-transitions-when-preview-window-is-undocked-generates-exceptions,
2017.3.0a5,934578,Existing Issue (show in final notes),Animation,Fixed keyframing of multiple material selection in the animation window,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/only-one-keyframe-is-added-when-animating-multiple-objects-materials,
2017.3.0a5,934923,Existing Issue (show in final notes),Animation,Fixed Animation Window clip popup list not alphabetically sorted,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/animationwindow-clip-popup-list-is-not-properly-sorted,
2017.3.0a5,930354,Backporting (show in alpha/beta notes only),Animation,Fixed a crash when opening an animator controller with a circular reference through StateMachineBehaviours,David Geoffroy,,https://issuetracker.unity3d.com/issues/editor-crashes-at-blobwrite-transferbasicdata-when-opening-scene,
2017.3.0a5,936144,Existing Issue (show in final notes),Animation,Fixed an issue where the Avatar Previewer (StateMachine transitions and Animation Clips previewer) was not centering for some models,David Geoffroy,,https://issuetracker.unity3d.com/issues/animation-transition-preview-ignores-the-position-of-transform-if-the-object-has-no-mesh-renderer,
2017.3.0a5,920470,Existing Issue (show in final notes),Animation,Fixed interrupted transition on layers that have empty states.,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/different-animation-pops-in-when-enabling-and-disabling-an-animation-parameter,
2017.3.0a5,934626,Backporting (show in alpha/beta notes only),Animation,Fixed root motion not correctly aligning avatar on WebGL,Sonny Myette,,https://issuetracker.unity3d.com/issues/rotating-root-node-of-an-animated-model-which-uses-generic-animation-type-has-different-results-between-editor-slash-pc-and-webgl-slash-mac,
2017.3.0a5,,Existing Issue (show in final notes),Animation,Fixed muscle settings being reset when changing other muscle settings in the model importer.,Simon Bouvier-Zappa,,,
2017.3.0a5,809332,Existing Issue (show in final notes),Animation,Fixed non-animated values in Transform component not properly restored when previewing in Animation Window,Simon Bouvier-Zappa,,https://issuetracker.unity3d.com/issues/anim-scene-vs-clip-value-of-static-property,
2017.3.0a5,,Existing Issue (show in final notes),Animation,Fixed Frame-All and Frame-Selected in Animator Window,Simon Bouvier-Zappa,,,
2017.3.0a5,940666,Backporting (show in alpha/beta notes only),Physics,Ensure no work is done if the 2D physics world is empty.,Melvyn May,,https://issuetracker.unity3d.com/issues/profiler-is-displaying-physics2d-performance-cost-when-physics2d-are-not-used,
2017.3.0a5,929835,Backporting (show in alpha/beta notes only),Build Pipeline,Fix stripping of SliderHandler constructor,,,https://issuetracker.unity3d.com/issues/webgl-missingmethodexception-method-not-found-default-constructor-not-found-unityengine-dot-sliderstate,
2017.3.0a5,935626,Backporting (show in alpha/beta notes only),Build Pipeline,Fix crashes on startup in players built with Mono assembly stripping,,,,
2017.3.0a5,930414,Backporting (show in alpha/beta notes only),Build Pipeline,Fix stripping of some System.Reflection types internally needed by Mono,,,https://issuetracker.unity3d.com/issues/android-an-app-crashes-when-binaryformatter-is-serialized-and-stripping-level-is-enabled,
2017.3.0a5,926857,Backporting (show in alpha/beta notes only),Build Pipeline,Fix stripping of types in Unity extension dlls (like UnityEngine.UI) when using Mono assembly stripping (,,,,
2017.3.0a5,937886,Backporting (show in alpha/beta notes only),iOS,Fixed SetIconsForTargetGroup when settings icons for iOS,Paulius Puodziunas,,https://issuetracker.unity3d.com/issues/ios-playersettings-dot-seticonsfortargetgroup-does-not-work,
2017.3.0a5,,Backporting (show in alpha/beta notes only),Editor,Fixed regression which made EditorGUI.EnumPopup() only work with enums whose underlying type was int.,Adam Mechtley,,,
2017.3.0a5,782948,Existing Issue (show in final notes),Asset Import,Updated SketchUp SDK to latest to support SketchUp 2015/2016/2017,Mark Visser,,https://issuetracker.unity3d.com/issues/sketchup-corrupted-import-of-sketchup-2016-files,
2017.3.0a5,920583,Backporting (show in alpha/beta notes only),Editor,Fix Editor freeze on poor networks when Collab is enabled,Marc Templin,,,
2017.3.0a5,941345,Backporting (show in alpha/beta notes only),Universal Windows Platform,GetApplication folder now correctly returns player dll path,NIck Rapp,,,
